🔒 Row ID,team_id,category_id,indicator_id,mode_id
kdQst1rIRqOqvumh8vz1yg,dBKL2fNDOcwXeQ8Hpc10,2,12,5
gX0O8VWmTPiZu2n3DGOYOg,dBKL2fNDOcwXeQ8Hpc10,2,13,5
wb2O3x9aTBS8QzrR2qs09w,dBKL2fNDOcwXeQ8Hpc10,2,14,5
dZaMcBf.RzK6QlBS0md5NA,dBKL2fNDOcwXeQ8Hpc10,2,15,5
a-GupV1EpQT-BtEpsTlErHw,dBKL2fNDOcwXeQ8Hpc10,2,16,5
e-sFw43kSXCTqbrR-HAWnA,dBKL2fNDOcwXeQ8Hpc10,2,17,5
rf4vQDTQS7GcTkEkVkojjw,dBKL2fNDOcwXeQ8Hpc10,2,18,5
ilb4XQSAQNyxNtDY7i9i1w,dBKL2fNDOcwXeQ8Hpc10,2,19,5
nsX4OhiRRG6wvEVzga8aVw,dBKL2fNDOcwXeQ8Hpc10,3,20,1
TLp1u6oyR4Gd2Icj4TQ4eQ,dBKL2fNDOcwXeQ8Hpc10,3,21,1
Z-xMU-.3SEepQR1scsEJDw,dBKL2fNDOcwXeQ8Hpc10,3,22,1
YLgkd8yjQYSVSVv1hZBnxQ,dBKL2fNDOcwXeQ8Hpc10,3,23,1
MxJiJ8WZQEuL2pOijjQyaw,dBKL2fNDOcwXeQ8Hpc10,3,24,1
I1jiCHMoQgybvJh91sLP-Q,dBKL2fNDOcwXeQ8Hpc10,3,25,1
D4ORycp.Qi29DOnectAkYQ,dBKL2fNDOcwXeQ8Hpc10,3,20,2
X17y28gDTqC-m9iobTOhqA,dBKL2fNDOcwXeQ8Hpc10,3,21,2
fpKtfDtHTUGuKFjgmgHAPQ,dBKL2fNDOcwXeQ8Hpc10,3,22,2
I4DhszFARti1rFM--ZuqFw,dBKL2fNDOcwXeQ8Hpc10,3,23,2
IAnCdBQOTVqjmlHN2guzNg,dBKL2fNDOcwXeQ8Hpc10,3,24,2
xjR069MHQbGxXXcGeGx1Ig,dBKL2fNDOcwXeQ8Hpc10,3,25,2
oL.jb45MSbGIsi-1ZB7QOA,dBKL2fNDOcwXeQ8Hpc10,3,20,3
UGdhLdk3RL6A6wOXVum-Zw,dBKL2fNDOcwXeQ8Hpc10,3,21,3
IiRxDVfmR-GJ5jU.4yBCoQ,dBKL2fNDOcwXeQ8Hpc10,3,22,3
bSAL5nWWQJeMgsz7sTFw0w,dBKL2fNDOcwXeQ8Hpc10,3,23,3
weHFfXmuTkemRXQe2eKzRA,dBKL2fNDOcwXeQ8Hpc10,3,24,3
EP5-JjehTaWDFYCngKhpAg,dBKL2fNDOcwXeQ8Hpc10,3,25,3
s17Wpnu3Tpabs0PuHfezFw,dBKL2fNDOcwXeQ8Hpc10,3,20,4
MMD3G1GSQ8ihhChL3HQVrw,dBKL2fNDOcwXeQ8Hpc10,3,21,4
59LEGlCGTL6O0RZqkKWSUg,dBKL2fNDOcwXeQ8Hpc10,3,22,4
Xi8CeVmpSCWQfuz7822.-A,dBKL2fNDOcwXeQ8Hpc10,3,23,4
ctU6twWtSaqst71kKzt.BQ,dBKL2fNDOcwXeQ8Hpc10,3,24,4
QSaN9GANR8aNWZSPu85orw,dBKL2fNDOcwXeQ8Hpc10,3,25,4
fdQjDUiKT4yfgWg0ooEQrg,dBKL2fNDOcwXeQ8Hpc10,3,20,5
vFfUwWkcSISOPKd0vYFYJg,dBKL2fNDOcwXeQ8Hpc10,3,21,5
yDUXi90uSE-tSfv5kminOg,dBKL2fNDOcwXeQ8Hpc10,3,22,5
XO961FzmTka1lP0beWgUFQ,dBKL2fNDOcwXeQ8Hpc10,3,23,5
a-sZPH7geRJa0Q-kAO7LkYg,dBKL2fNDOcwXeQ8Hpc10,3,24,5
a-UVdwVHPT1mPUa.6xeDkeQ,dBKL2fNDOcwXeQ8Hpc10,3,25,5
2vJ1RczgT4uRi2zprqHIPA,dBKL2fNDOcwXeQ8Hpc10,4,26,
D2O91WU1RS2NmOO88I.CAg,dBKL2fNDOcwXeQ8Hpc10,4,27,
lHgf0WfSQt2lXwYxQuLn5Q,dBKL2fNDOcwXeQ8Hpc10,4,28,
hzrxrXUNSPO4ROUYwtS91g,dBKL2fNDOcwXeQ8Hpc10,4,29,
sNCyY7edRlWZVlFvXyclrg,dBKL2fNDOcwXeQ8Hpc10,4,30,
2wWuMPYoT62jtAri3mifpw,dBKL2fNDOcwXeQ8Hpc10,4,31,
8uPc6v4zSUynlN4M8zIvlQ,dBKL2fNDOcwXeQ8Hpc10,4,32,
ulyCcLE.SsGlgdFVAzr1Zg,dBKL2fNDOcwXeQ8Hpc10,5,33,
CDYm9zNmTLeVMrpDQ4auLw,dBKL2fNDOcwXeQ8Hpc10,5,34,
IZfD1YyHSHub1crsCDgvPg,dBKL2fNDOcwXeQ8Hpc10,5,35,
fOrDdprOSoOu2EmiadFMBQ,dBKL2fNDOcwXeQ8Hpc10,5,36,
cgxyABADRA6hFvqNVyIrZw,dBKL2fNDOcwXeQ8Hpc10,5,37,
o7D5zax5SRm9pC.xPY9UaQ,dBKL2fNDOcwXeQ8Hpc10,5,38,
vD4RYRpRSbKNUtol39jJLQ,dBKL2fNDOcwXeQ8Hpc10,5,39,
